65,vand,3,05/17/2014 21:10:55.117704
188,SYNers,3,05/17/2014 21:20:04.516302
49,Background Noise!,3,05/17/2014 21:35:30.19905
860,HackEnBarra,3,05/17/2014 22:06:59.781869
22,kosh,3,05/17/2014 22:11:50.291198
777,backzogtum,3,05/17/2014 22:18:22.097022
504,hammer_of_the_sheeple,3,05/17/2014 22:18:37.771356
359,Cl0ud Sh3llz,3,05/17/2014 22:35:49.973845
68,Pi Backwards,3,05/17/2014 23:15:25.808497
209,UMUC Cyber Padawans,3,05/17/2014 23:24:50.499971
340,glory and fame but mostly beer,3,05/18/2014 00:23:26.337339
1042,Bad Subnet Mask,3,05/18/2014 02:36:51.718996
472,C3TF,3,05/18/2014 03:50:24.731994
459,d4rinwbots,3,05/18/2014 03:53:09.488665
520,banbi,3,05/18/2014 05:41:21.545604
212,FunAllergy,3,05/18/2014 07:16:49.314153
768,Traditional Breakfast,3,05/18/2014 07:22:49.198865
695,Singularity,3,05/18/2014 07:44:00.607561
255,RooterX,3,05/18/2014 09:56:05.788329
200,indo8,3,05/18/2014 10:21:04.414221
1004,TeamActionKaktus,3,05/18/2014 11:09:47.03893
395,dsns,3,05/18/2014 11:19:21.53069
563,player1,3,05/18/2014 11:25:55.072274
728,LowEnergy:(,3,05/18/2014 13:18:26.466928
417,RookyBitches,3,05/18/2014 13:21:35.072767
511,newkiba,3,05/18/2014 13:46:14.571142
656,lcmafia,3,05/18/2014 15:10:18.359293
465,dalbo,3,05/18/2014 15:19:17.765374
1397,hell tag,3,05/18/2014 16:11:23.800696
312,Kernel Sanders,3,05/18/2014 17:25:29.108432
1338,Chris Hansen,3,05/18/2014 17:29:27.396105
710,[censored],3,05/18/2014 17:44:54.050231
814,RaZy,3,05/18/2014 18:57:10.818399
454,HeXA,3,05/18/2014 19:12:28.037112
905,pickles,3,05/18/2014 19:31:13.663949
813,benign goat zombies,3,05/18/2014 19:40:15.185516
812,TeamRedAce,3,05/18/2014 22:21:17.005128
420,Layer8Rage,3,05/18/2014 23:21:38.060975
687,carepackage,3,05/18/2014 23:45:41.579496
888,ak41s,2,05/17/2014 02:13:05.380352
1067,not sure,2,05/17/2014 02:13:44.588235
911,supercows,2,05/17/2014 03:03:57.603417
1024,¯\_(ツ)_/¯,2,05/17/2014 03:21:35.224288
535,BonziBUDDY.exe,2,05/17/2014 04:19:55.679934
1069,unethical_hackers,2,05/17/2014 05:04:13.456743
556,Doublegoat,2,05/17/2014 05:09:30.177228
329,The 0x41 Team,2,05/17/2014 05:51:30.491055
748,SQL infection,2,05/17/2014 06:55:03.818746
712,CTF-infinit,2,05/17/2014 07:27:18.482113
1079,Cena Fans,2,05/17/2014 07:27:42.241266
336,foreN00Bz,2,05/17/2014 07:32:24.307866
299,ter,2,05/17/2014 08:56:25.735149
28,SegFault,2,05/17/2014 09:32:50.2536
290,gief,2,05/17/2014 10:30:15.493853
680,DokuDempa,2,05/17/2014 10:47:06.478079
538,TeamZAP,2,05/17/2014 10:50:08.758006
453,SUSlo.PAS,2,05/17/2014 10:54:41.022742
31,sigma,2,05/17/2014 11:13:01.623223
1007,ImKumamon,2,05/17/2014 11:41:08.270857
708,The Art of Pwn,2,05/17/2014 12:43:14.763061
646,Follow the Sun,2,05/17/2014 14:28:31.598394
869,Abr1k0s,2,05/17/2014 14:39:52.478585
846,GetToDaChoppa,2,05/17/2014 14:43:03.966678
238,movsx,2,05/17/2014 14:47:54.183453
172,ids-team,2,05/17/2014 15:11:30.790978
883,icewall,2,05/17/2014 15:16:39.571876
444,g0delsmachine,2,05/17/2014 16:06:45.143808
275,GR_sec_team,2,05/17/2014 17:22:45.040304
348,sorcier,2,05/17/2014 17:44:46.514062
366,Hexpresso,2,05/17/2014 17:46:57.988727
407,errorlog,2,05/17/2014 17:55:29.506957
1185,A Lolly Band Apart,2,05/17/2014 18:04:00.511937
797,ASIS,2,05/17/2014 18:19:58.759322
916,TheGooniesBr,2,05/17/2014 18:29:40.70571
1297,Pompom,2,05/17/2014 18:31:58.477939
514,KUICS,2,05/17/2014 18:34:59.785741
338,abCdefgHijklmnopqrsT,2,05/17/2014 18:43:21.126584
1143,dv_team,2,05/17/2014 19:16:32.511056
807,sandbox,2,05/17/2014 19:21:10.098817
1084,TTT,2,05/17/2014 19:31:22.05866
743,CCSF_HACKERS_TEAM,2,05/17/2014 19:43:45.647169
795,0x1337,2,05/17/2014 19:56:02.179218
913,X5O!P%@AP[4\PZX54,2,05/17/2014 20:35:54.004787
970,dangerrocket,2,05/17/2014 20:38:11.873021
930,droptable,2,05/17/2014 21:27:16.284219
364,CSCUK,2,05/17/2014 22:01:29.952357
820,YetAnotherTeam,2,05/17/2014 22:34:22.777092
135,baNULL,2,05/17/2014 22:47:13.022508
850,ReseArchers,2,05/17/2014 22:52:36.949345
1301,meep,2,05/17/2014 23:58:10.165513
867,sausage,2,05/18/2014 00:41:32.355076
548,Quarks and Gluons,2,05/18/2014 01:07:00.010105
1127,1t4,2,05/18/2014 01:44:28.450434
523,BreakThings,2,05/18/2014 02:04:57.092035
593,Hopjesvla,2,05/18/2014 02:51:05.990893
1335,tong,2,05/18/2014 03:36:50.400506
222,TRUE,2,05/18/2014 04:05:52.114783
887,pktkosakuin,2,05/18/2014 05:05:37.671315
1029,Edward Broden,2,05/18/2014 05:13:35.490066
756,73@M7,2,05/18/2014 05:50:40.094131
450,Yet Another Team,2,05/18/2014 08:11:12.014415
765,tuat_mcc,2,05/18/2014 08:13:54.865858
101,ArrBas,2,05/18/2014 09:11:08.914317
1035,hardrock,2,05/18/2014 09:31:14.93085
788,m1z0r3,2,05/18/2014 10:04:24.613671
601,qwertyuiop,2,05/18/2014 10:24:26.082382
128,0xadam,2,05/18/2014 10:29:45.070268
466,Bono,2,05/18/2014 10:38:37.647531
727,Ganbare Tigers Jr,2,05/18/2014 11:29:32.634056
894,keysec,2,05/18/2014 13:50:25.496679
856,botanybay,2,05/18/2014 15:40:09.147439
506,Mafiah Kittehs,2,05/18/2014 15:55:10.144685
182,dodododo,2,05/18/2014 16:39:30.230557
755,internationalechinoderms,2,05/18/2014 16:40:58.409953
794,dickbutt,2,05/18/2014 17:43:36.808059
761,asdfjkl;,2,05/18/2014 18:32:35.403628
1054,TheBrownWing,2,05/18/2014 18:43:31.168985
702,0x4E534931,2,05/18/2014 19:55:03.980562
554,certis,2,05/18/2014 20:38:29.509367
326,UscherbGuild,2,05/18/2014 20:52:04.500759
643,tonko2,2,05/18/2014 21:35:11.802159
915,ufologists,2,05/18/2014 21:44:32.822138
390,T-Raperzy znad Wisly,2,05/18/2014 21:59:29.965833
233,fooblarg,2,05/18/2014 23:22:42.270569
1043,blarg for great good,1,05/17/2014 01:16:06.438182
502,l33tb33s,1,05/17/2014 01:20:44.310667
963,evil_pwnies,1,05/17/2014 01:28:48.137471
663,G04tzZZ,1,05/17/2014 01:32:24.118446
249,Shellphish,1,05/17/2014 01:43:28.946289
639,decrement++,1,05/17/2014 01:51:04.599768
760,Craft,1,05/17/2014 01:56:34.951592
51,I'mBobDole,1,05/17/2014 01:58:21.509991
994,ISIS,1,05/17/2014 02:02:16.411326
943,0x0lab,1,05/17/2014 02:04:13.795564
489,shEIP,1,05/17/2014 02:23:31.036303
1074,spezialexperten,1,05/17/2014 02:43:07.123454
704,GorunNova,1,05/17/2014 02:50:32.239397
958,letzplaythegam3,1,05/17/2014 03:20:46.881613
1026,5f3759df,1,05/17/2014 03:26:09.864694
282,binary,1,05/17/2014 03:31:42.435514
18,Google Sucks,1,05/17/2014 03:36:09.388155
1113,ohnoooooo,1,05/17/2014 03:39:09.827487
347,TravestiSec,1,05/17/2014 04:12:52.956202
602,not-a-team,1,05/17/2014 04:42:31.613831
258,H@ckerLogin,1,05/17/2014 05:01:01.715015
723,Spike Krew,1,05/17/2014 05:10:43.522212
696,noflags,1,05/17/2014 05:23:21.409914
334,XLII,1,05/17/2014 05:36:47.175211
636,NISNIS,1,05/17/2014 05:43:58.438876
536,mau5,1,05/17/2014 06:15:17.167072
966,the dirty bits,1,05/17/2014 06:22:50.062954
446,EmaDachi81,1,05/17/2014 06:34:02.811085
718,POS,1,05/17/2014 06:39:53.585056
1121,cryto,1,05/17/2014 06:41:17.713634
800,SecurityFirst,1,05/17/2014 07:24:42.64589
1133,Tokens 4 Tots,1,05/17/2014 07:36:37.714818
550,404notfound,1,05/17/2014 07:51:23.301787
330,CHTTL,1,05/17/2014 08:26:43.623845
782,CatchTheFuture,1,05/17/2014 08:29:40.065582
